VendorName,TotalPurchaseDollars,PurchaseContribution
DIAGEO NORTH AMERICA INC,190777.32999999786,0.06207398025314013
EDRINGTON AMERICAS,190241.9199999985,0.06189977176742909
PROXIMO SPIRITS INC.,189588.56000000134,0.06168718542009938
BACARDI USA INC,189438.60000000146,0.06163839233719611
WILLIAM GRANT & SONS INC,188720.84000000122,0.06140485190518299
DIAGEO NORTH AMERICA INC,187276.53999999992,0.0609349142575616
SAZERAC NORTH AMERICA INC.,187167.9600000009,0.060899585150189006
JIM BEAM BRANDS COMPANY,186953.28000000378,0.060829733862928795
MARTIGNETTI COMPANIES,186216.24000000863,0.06058992022047204
WINE GROUP INC,185968.08000000022,0.0605091754121652
ULTRA BEVERAGE COMPANY LLP,185696.94999999815,0.06042095676340771
JIM BEAM BRANDS COMPANY,185682.44999999992,0.060416238840614894
DIAGEO NORTH AMERICA INC,185542.0,0.06037054006431611
DIAGEO NORTH AMERICA INC,183473.28000000012,0.05969743239251218
ULTRA BEVERAGE COMPANY LLP,182055.4999999997,0.05923612366299319
SAZERAC CO INC,182012.7400000021,0.059222210671363226
PERNOD RICARD USA,181673.83999999988,0.05911194142759131
BACARDI USA INC,181660.60000000242,0.05910763347602079
PERNOD RICARD USA,181560.19000000207,0.05907496267411135
BACARDI USA INC,181460.25,0.05904244479797467
SAZERAC CO INC,180436.5000000024,0.058709343180062296
SOUTHERN WINE & SPIRITS NE,180213.5999999964,0.05863681731863631
E & J GALLO WINERY,179413.92000000342,0.058376622249712795
BACARDI USA INC,179143.86000000103,0.05828875175111995
PROXIMO SPIRITS INC.,178981.09999999928,0.058235793881198455
PROXIMO SPIRITS INC.,178782.5200000039,0.05817118111510942
CONSTELLATION BRANDS INC,177995.8000000007,0.0579152028930379
DIAGEO NORTH AMERICA INC,177870.96000000066,0.057874583204656674
E & J GALLO WINERY,177311.36999999732,0.05769250717596886
PERNOD RICARD USA,176407.97999999893,0.057398567570981295
SAZERAC CO INC,176150.87999999995,0.05731491391924489
