Description,TotalSalesDollars,AvgProfitMargin
Art In The Age Snap,35592.47000000043,27.18673359842786
Art in the Age Rhubarb Tea,28164.030000000366,28.204592879641915
Art of Eart Montepulciano d',2160.8900000000017,61.29650282985254
Artesa Carneros Chard,50184.019999999975,53.36099021162504
Artesa Carneros Pnt Nr,50959.46000000008,49.04749775605964
Artesa Elements Napa Red,744.3300000000003,2.8992516760039577
Asamai Shuzo Heavens Door,119.96,1.3171057019006323
Asbach Uralt German Brandy,44350.95000000024,27.429874670102993
Ashuelot Vodka,12877.479999999945,7.161028399966102
Aska Bolgheri Rosso,434.85,28.876624123260903
Assyrtiko-Athiri Atlantis,191.88,33.771106941838646
Astraly Touraine Nobel Rose,89.94,31.02068045363576
Aszu Royal Tokaji 5 Puttony,9098.04999999998,19.63519655310736
Atalon Cab Svgn Napa,1589.4700000000003,55.902281892706384
Atalon Pauline's Cuvee Red N,2358.8199999999997,90.5804597213861
Atalon Svgn Bl Napa Valley,2118.94,63.47230218883026
Atamisque Assemblage,5344.379999999986,27.634262533726822
Atamisque Malbec,23657.880000000136,33.39944238452498
Atholl Brose Scotch Liqueur,329.94,27.532278596108384
Atlas Peak Cab Svgn,559.84,60.80308659617034
Atteca Garnacha Old Vines,10674.25999999992,42.73242360594508
Attems Pnt Grigio Ramato,12815.329999999927,32.416254595082194
Attitude 13 Rose Jolivet,2350.3199999999974,88.79641921100104
Au Bon Climate Pnt Nr,2155.0200000000004,22.770090300786087
Au Contraire Chard RRV,21128.050000000047,26.46798923705709
Auchentoshan 12 Yr Sngle Mlt,35098.47000000031,21.409195329597733
Auchentoshan American Oak,36451.45000000034,24.975494801990823
Auchentoshan Classic Scotch,359.88,94.4009114149161
Aultmore 12 Yr Scotch,16593.71999999995,54.310425871956234
Austin Cocktails Vodkarita,2353.4299999999976,91.54128229860244
Avalon Cab Svgn Cal,24047.340000000186,31.834706042332122
Avalon Cab Svgn Napa,24770.6200000001,35.912948484939406
Avante Tinto Fino Ribera Del,892.53,32.43812532912059
Aveleda Follies,3429.359999999984,90.13810156997219
Averna Amaro,34815.92000000036,12.75956516444275
Aviary Chard,215.88,42.301278488048915
Aviary Red Blend,5894.719999999987,16.062510178600316
Avion Anejo Tequila,37473.18000000018,30.493355514531068
Avion Espresso,202.93,39.97930320800276
Avion Silver Tequila,152901.77000000206,37.50587035962819
Avion Tasting Flight 3/375mL,9852.959999999974,46.84927169094348
Avion Tequila 3/50ml Sampler,24005.970000000296,10.192339655511764
Ayala Brut Majeur,8117.149999999981,24.95654262887821
Ayala Rose Majeur,2607.5599999999995,60.66437589163816
B & B Dom VAP,1319.4800000000002,97.25497923424379
B & B Liqueur Dom,322338.35999998567,29.41064782351852
B & G CDP Rose,2572.729999999996,14.260726932091487
B & G Cotes du Rhone Red,155.88,49.03772132409546
B & G Pnt Nr Bistro,6114.809999999949,34.73877356777991
B & G Sancerre Svgn Bl,243.91000000000003,15.32942478783158
B & G Sauternes,6997.139999999953,34.17081836293075
B & G Vouvray,18135.659999999894,33.50713456251347
B Doon Not Drinking Any Merl,54035.91000000004,31.430524627049056
B Doon The Heart Has Rieslin,27493.590000000495,31.09892160318225
B Side Cab Svgn,887.6300000000001,1.5806135439316027
B Side Napa Vly Red,1259.4600000000003,46.73907865275596
BR Cohn Olive Hill Cab Svgn,99.98,33.32666533306662
BR Cohn Silver Cab Svgn Snm,50490.92000000013,21.27535010255313
BV Beaurouge Red,6880.409999999985,84.3936625869679
BV Coastal Estate Cab Svgn,40100.79000000051,28.407101185048447
BV Coastal Estate Chard,19073.769999999964,50.329274181244585
BV Coastal Estate Merlot,15790.379999999808,45.182953165154245
BV Coastal Estate Moscato,164.85,57.77979981801637
BV Coastal Estate Pnt Nr,23527.710000000177,41.05707695309104
BV Coastal Estate Red,450.5900000000001,1.569053907099604
BV Coastal Estate Svgn Bl,560.35,52.77951280449719
BV GDL Private Rsv Cab Svgn,4799.5999999999985,28.60405033752812
Babich Svgn Bl Marlboro,20320.420000000024,28.717221396014747
Bacardi 151 Proof,161219.3500000025,36.44758523093006
Bacardi 1873 Solera Rum,2353.4299999999985,89.38145600251546
Bacardi 8,57553.189999999566,30.118208912485233
Bacardi 8 Gift Set,869.6500000000001,91.7898004944518
Bacardi Anejo Mexican Rum,2476.2299999999996,59.057115049894385
Bacardi Artic Grape Rum,195.85999999999999,51.046665985908305
Bacardi Black,167766.34000000742,33.989320940488184
Bacardi Black Razz,37736.47000000071,56.50157526657972
Bacardi Coco Rum,72356.79000000034,31.132765839944582
Bacardi Coconut,5752.889999999728,97.84282334617895
Bacardi Dragon Berry,3203.6399999999408,94.76345656815364
Bacardi Dragon Berry Rum,322292.83000001253,34.373872919290854
Bacardi Dragon Berry Trav,709.2900000000003,87.92031468087808
Bacardi Gold Rum,597005.619999982,28.748432636283535
Bacardi Gold Rum Traveler,213320.76999999894,44.53872447582092
Bacardi Gran Reserva Maestro,12064.359999999922,89.59331452310767
Bacardi Grand Melon,24690.35000000019,50.915884140970476
Bacardi Grapefruit Rum,10784.069999999378,6.185419790481945
Bacardi Limon Rum,388625.95999999985,33.24317364237548
Bacardi Limon Traveler,409.59000000000015,96.4403427818062
Bacardi Mango Fusion,86888.22000000243,63.16870945437569
Bacardi Mojito Cocktail,59087.819999999454,26.729146548306602
Bacardi O Orange Rum,2294.350000000001,23.80619417121967
Bacardi Oakheart Spiced Rum,306032.04999999504,41.327887373681754
Bacardi Oakheart Spiced Trav,399.6000000000002,98.13313313313314
Bacardi Party Drinks Bahama,72655.53000000057,31.090943800149944
Bacardi Party Drinks Hurricn,159.9,33.35834896810507
Bacardi Party Drinks Rum Run,303.81000000000006,4.31519699812385
Bacardi Party Drinks Zombie,52286.15999999977,32.15246635055994
Bacardi Party Mai Tai,34810.2000000006,34.641857846264465
Bacardi Peach Red Rum,287.76,39.6163469557965
Bacardi Pineapple Fusion,155020.07000000135,48.02343189986084
Bacardi Raspberry Rum,11611.70999999939,16.38785329636626
Bacardi Reserva Limitada,2879.6799999999985,95.30086676297365
Bacardi Superior Rum,3164376.0599996583,36.21580703150461
Bacardi Superior Rum Trav,1623375.6299998828,30.03298577006425
Bacardi Tangerine,17399.24999999924,38.398724082931906
Bacardi Tangerine Rum,11563.369999999863,58.415496520477525
Bacardi Torched Cherry Rum,57060.37999999948,29.3003131069224
Bacardi Twin Pack 2/750mls,67253.89999999983,81.37021050080364
